trading_point,open,high,low,close,volume
2021-08-15,3266.98,3324.53,3112.79,3311.44,159536348.00503948
2021-08-16,3312.52,3340.06,3133.12,3146.83,112028396.78660113
2021-08-17,3145.0,3293.72,2991.62,3011.95,122164061.86939834
2021-08-18,3013.81,3127.39,2951.97,3014.15,68549804.03509735
2021-08-19,3017.87,3189.41,2957.95,3185.18,95136080.62430663
2021-08-20,3184.76,3305.09,3179.87,3285.64,140128242.7134096
2021-08-21,3283.54,3312.53,3209.15,3226.15,45501249.818170816
2021-08-22,3226.23,3276.43,3130.0,3241.55,40082838.26313925
2021-08-23,3242.33,3381.44,3234.12,3317.25,97850554.71309164
2021-08-24,3326.21,3361.13,3145.17,3175.68,74088299.21934919
2021-08-25,3174.2,3249.99,3077.81,3230.85,61558976.31463908
2021-08-26,3226.98,3256.02,3055.0,3093.48,113471678.37164734
2021-08-27,3094.09,3283.47,3062.0,3276.68,112910703.70584896
2021-08-28,3271.67,3288.71,3211.06,3245.0,38612538.2297655
2021-08-29,3248.07,3288.0,3152.19,3225.34,19207301.569139384
2021-08-30,3225.09,3350.0,3144.44,3226.49,96766251.8848957
2021-08-31,3230.16,3475.0,3189.92,3432.54,136754000.74406135
2021-09-01,3431.39,3848.11,3384.24,3831.7,118207950.57052544
2021-09-02,3823.65,3837.2,3723.22,3786.56,66106613.11250538
2021-09-03,3792.83,4025.0,3708.89,3938.74,97189716.17467114
2021-09-04,3937.62,3974.25,3832.02,3887.1,34668402.38763615
2021-09-05,3889.6,3984.34,3835.0,3951.48,43123354.53902935
2021-09-06,3952.95,3973.53,3866.62,3928.29,44584351.884271525
2021-09-07,3928.46,3949.0,3015.0,3429.61,294960416.1892421
2021-09-08,3435.74,3560.51,3216.0,3492.64,121002688.61436345
2021-09-09,3499.63,3568.47,3387.62,3424.01,67109327.64171585
2021-09-10,3421.44,3511.69,3146.15,3209.71,101783660.65596391
2021-09-11,3208.57,3346.58,3202.94,3266.98,34453545.34962489
2021-09-12,3265.61,3472.93,3232.76,3406.08,40282195.45297658
2021-09-13,3401.64,3429.39,3111.72,3281.62,98447871.89837275
2021-09-14,3286.33,3437.0,3271.32,3437.0,69116972.32465696
2021-09-15,3437.73,3619.4,3360.0,3615.24,52793403.40700089
2021-09-16,3619.4,3677.0,3485.19,3571.25,88151483.33783624
2021-09-17,3572.28,3592.88,3350.0,3398.9,138798633.33209983
2021-09-18,3400.45,3545.7,3370.05,3435.78,115564304.2144104
2021-09-19,3433.47,3457.89,3280.36,3328.81,49418814.44494727
2021-09-20,3334.57,3347.2,2912.28,2977.58,221944958.41331944
2021-09-21,2972.88,3103.46,2650.0,2765.88,221114169.75328004
2021-09-22,2764.26,3093.41,2737.79,3079.09,70717511.80791587
2021-09-23,3075.98,3175.45,3035.85,3154.03,53068337.11320114
2021-09-24,3156.72,3160.48,2731.3,2929.3,132196685.6930083
2021-09-25,2929.78,2969.63,2805.0,2925.75,59449011.51292604
2021-09-26,2925.81,3116.31,2740.62,3064.32,83416190.88846758
2021-09-27,3058.18,3167.31,2923.93,2923.93,92840031.81688812
2021-09-28,2924.37,2970.6,2789.55,2807.46,70265342.69927803
2021-09-29,2806.24,2950.26,2782.48,2851.4,91878600.28756252
2021-09-30,2849.43,3049.24,2838.1,3000.59,69021413.20550379
2021-10-01,3000.78,3333.0,2968.97,3311.72,165103699.90635854
